,Unnamed: 0,name,coin,supply,mcap,price,set,new-mcap,var,prop-newmcap,prop-mcap,potential
144,144,WOO Network,WOO,1145936933,173366827,0.1512883,1.0,1145936933.0,660.99,0.1114890182818806,0.016866981758126676,6.609896469191604
145,145,SwissBorg,CHSB,1000000000,170776075,0.1707761,1.0,1000000000.0,585.56,0.09729071039713195,0.01661492565558389,5.855620312209965
152,152,Voyager Token,VGX,278482214,150686041,0.5410975,1.0,278482214.0,184.81,0.027093732433026128,0.014660351975821353,1.8480957683227144
153,153,PlayDapp,PLA,423447002,146019629,0.3448357,1.0,423447002.0,289.99,0.04119745964011575,0.014206353437335652,2.8999317646055784
154,154,Civic,CVC,1000000000,142716240,0.1427162,1.0,1000000000.0,700.69,0.09729071039713195,0.013884964374807579,7.006913020385913
155,155,CEEK VR,CEEK,803717779,141382092,0.1759101,1.0,803717779.0,568.47,0.0781942736777151,0.013755164168112666,5.684721911931151
158,158,Ellipsis,EPS,723701572,134908234,0.1864142,1.0,723701572.0,536.44,0.07040944005540113,0.01312531792428251,5.364398205716088
159,159,Keep Network,KEEP,855798667,134700537,0.1573975,1.0,855798667.0,635.33,0.08326126026934856,0.013105110935605156,6.353341063231627
160,160,Pundi X (New),PUNDIX,258491637,134476319,0.5202347,1.0,258491637.0,192.22,0.025148834995447556,0.013083296607101332,1.9222093412838472
164,164,Render Token,RNDR,253798860,130399048,0.5137889,1.0,253798860.0,194.63,0.024692271387382236,0.012686616015029708,1.946324648119101
168,168,Ren,REN,999037500,119316626,0.1194316,1.0,999037500.0,837.3,0.09719706808837471,0.011608399305728904,8.372993412128784
170,170,Nano,XNO,133248297,118138894,0.8866072,1.0,133248297.0,112.79,0.012963821474338026,0.01149381692279147,1.127895194173925
174,174,Ontology Gas,ONG,316887697,112626968,0.355416,1.0,316887697.0,281.36,0.0308302291572411,0.010957557726595048,2.8136043397033337
175,175,NuCypher,NU,703000000,112355376,0.1598227,1.0,703000000.0,625.69,0.06839536940918377,0.01093113434797687,6.256933464395233
177,177,Request,REQ,999830316,110205901,0.1102246,1.0,999830316.0,907.24,0.09727420172022892,0.010722010398245996,9.072384930405734
180,180,Function X,FX,408520357,105840083,0.2590815,1.0,408520357.0,385.98,0.03974523574421995,0.01029725686356141,3.8597892941024345
181,181,Ardor,ARDR,998999495,104288442,0.1043929,1.0,998999495.0,957.92,0.09719337055492608,0.010146296608390093,9.57919552000184
182,182,Ultra,UOS,303793578,104215850,0.3430482,1.0,303793578.0,291.5,0.029556293017706518,0.010139234081140945,2.9150422593676337
184,184,Tribe,TRIBE,453448622,103411506,0.2280556,1.0,453448622.0,438.49,0.044116338562980556,0.010060978881977274,4.384895613175033
185,185,Powerledger,POWR,485339140,100994622,0.2080908,1.0,485339140.0,480.56,0.04721898971413308,0.009825838520669811,4.805594480870851
186,186,MX TOKEN,MX,100000000,99994491,0.9999449,1.0,100000000.0,100.01,0.009729071039713195,0.009728535065189618,1.0000551030361773
194,194,Ocean Protocol,OCEAN,613099141,94852749,0.1547103,1.0,613099141.0,646.37,0.05964885097176137,0.009228291333330847,6.4636937553608265
196,196,Chromia,CHR,567369439,94468697,0.166503,1.0,567369439.0,600.59,0.05519977577793222,0.009190926641421408,6.005897791631382
203,203,yOUcash,YOUC,8617397990,4406245088,0.5113197,1.0,8617397990.0,195.57,0.8383927722219169,0.42868671479539316,1.955723591326522
207,207,Frax,FRAX,1448771031,1448367686,0.9997216,1.0,1448771031.0,100.03,0.14095196280877528,0.14091272108719016,1.000278477528144
209,209,BitDAO,BIT,2060868173,1142635125,0.5544436,1.0,2060868173.0,180.36,0.20050332858600944,0.11116778303596567,1.8036099614099612
213,213,DeFiChain,DFI,510738161,458633532,0.8979817,1.0,510738161.0,111.36,0.04969007851061475,0.04462078214022575,1.113608439904733
215,215,GensoKishi Metaverse,MV,1709312901,329409201,0.1927144,1.0,1709312901.0,518.9,0.16630026642927248,0.03204845517664163,5.189025833046207
231,231,HUSD,HUSD,160663906,160423503,0.9985037,1.0,160663906.0,100.15,0.01563110554991803,0.015607716571266429,1.0014985422687968
237,237,Humanscape,HUM,831409623,132531710,0.159406,1.0,831409623.0,627.33,0.08088843285268166,0.012894104216046677,6.2732895875939425
240,240,STASIS EURO,EURS,124125940,123090426,0.9916576,1.0,124125940.0,100.84,0.012076300881311777,0.011975554988625601,1.008412581116708
242,242,MaidSafeCoin,MAID,452552412,117179441,0.2589301,1.0,452552412.0,386.2,0.04402914565541554,0.01140047105882881,3.8620461661274605
243,243,LooksRare,LOOKS,469539052,114121373,0.2430498,1.0,469539052.0,411.44,0.04568178792827588,0.011102949450666075,4.114383142878538
244,244,PlatonCoin,PLTC,114099391,113105619,0.9912903,1.0,114099391.0,100.88,0.011100810806270123,0.011004126022417345,1.0087862253872555
245,245,Centrifuge,CFG,302266191,113017088,0.3738992,1.0,302266191.0,267.45,0.02940769245142517,0.010995512778535178,2.6745176240013353
248,248,USDX [Kava],USDX,111567264,106992243,0.9589932,1.0,111567264.0,104.28,0.010854458371624366,0.01040935132845257,1.0427602614909053
250,250,Stargate Finance,STG,133272369,103295616,0.7750715,1.0,133272369.0,129.02,0.012966163456318706,0.010049703861549351,1.290203548962902
253,253,Orbit Chain,ORC,614793591,98289979,0.1598748,1.0,614793591.0,625.49,0.059813705215993794,0.00956270188182918,6.254894454910968
257,257,AVINOC,AVINOC,389244472,94747629,0.2434142,1.0,389244472.0,410.82,0.03786987119903654,0.009218064133853902,4.1082237601586105
258,258,Acala Token,ACA,487394605,92731081,0.1902587,1.0,487394605.0,525.6,0.04741896736417952,0.009021872746383986,5.256001433837191
259,259,Bancor,BNT,205394087,92471805,0.4502165,1.0,205394087.0,222.12,0.019982936635600326,0.008996647600155058,2.2211536005455152
261,261,Syscoin,SYS,658679537,91838818,0.1394287,1.0,658679537.0,717.21,0.06408340007878396,0.00893506384525291,7.172124533901558
263,263,Steem,STEEM,394951699,87583913,0.2217585,1.0,394951699.0,450.94,0.03842513136826423,0.008521101115130601,4.509410011341166
264,264,Biconomy,BICO,172200411,87010967,0.505289,1.0,172200411.0,197.91,0.016753500316868095,0.008465358791771406,1.9790654457152244
266,266,Raydium,RAY,131138551,85506499,0.6520318,1.0,131138551.0,153.37,0.012758562787240519,0.008318988031281654,1.5336675297125077
267,267,Cartesi,CTSI,606285058,85478009,0.1409865,1.0,606285058.0,709.29,0.058985903995986355,0.008316216218942438,7.09287768687073
270,270,Stratis,STRAX,140372235,83611097,0.5956384,1.0,140372235.0,167.89,0.01365691446318315,0.008134583024213509,1.6788709391469723
271,271,Biswap,BSW,273579477,83610205,0.3056158,1.0,273579477.0,327.21,0.02661674166740582,0.008134496240899835,3.272082137114639
273,273,Hxro,HXRO,428521116,83426826,0.1946854,1.0,428521116.0,513.65,0.04169112379581179,0.008116655167717918,5.136492001968303
275,275,Coin98,C98,216944444,82716285,0.3812787,1.0,216944444.0,262.28,0.021106679073470812,0.00804752612906163,2.622753382237193
276,276,OriginTrail,TRAC,365438455,82714588,0.2263434,1.0,365438455.0,441.81,0.035553766893380336,0.008047361026726086,4.4180656471538375
279,279,Pirate Chain,ARRR,193709158,80930507,0.4177939,1.0,193709158.0,239.35,0.018846101592250277,0.00787378651883006,2.3935246541416713
281,281,Persistence,XPRT,118367251,79186882,0.6689932,1.0,118367251.0,149.48,0.011516033937545628,0.0077041480039138615,1.4947835045259057
282,282,JOE,JOE,315895419,79150573,0.2505594,1.0,315895419.0,399.11,0.030733689725709654,0.0077006154755100515,3.991069582701747
283,283,Liquity,LQTY,81395776,78866310,0.9689239,1.0,81395776.0,103.21,0.007919052870365824,0.007672959326300432,1.0320727974611836
285,285,WhiteCoin,XWC,744201249,78533787,0.1055276,1.0,744201249.0,947.62,0.07240386819364289,0.007640607927407046,9.476193905670176
291,291,Euro Coin,EUROC,75739151,75702854,0.9995208,1.0,75739151.0,100.05,0.007368715805665647,0.007365184444750363,1.0004794297427326
293,293,Shentu,CTK,84985142,74949886,0.8819175,1.0,84985142.0,113.39,0.008268264838381136,0.007291927653124054,1.1338929094841637
294,294,WazirX,WRX,381856872,74456789,0.1949861,1.0,381856872.0,512.86,0.037151126346906684,0.007243953895699361,5.128570703245001
295,295,Creditcoin,CTC,207254279,74140082,0.3577252,1.0,207254279.0,279.54,0.020163916036755387,0.007213141246681616,2.7954418643137244
300,300,NKN,NKN,700000000,71545553,0.1022079,1.0,700000000.0,978.4,0.06810349727799236,0.006960717677125656,9.783979516260484
302,302,Orchid,OXT,690690084,71295406,0.1032234,1.0,690690084.0,968.77,0.06719772893661474,0.006936380697791945,9.687725845108764
306,306,aelf,ELF,501962554,70593709,0.1406354,1.0,501962554.0,711.06,0.04883629347141871,0.006868112098178408,7.110585243829079
309,309,Rakon,RKN,242857143,67555798,0.2781709,1.0,242857143.0,359.49,0.02362774396748786,0.006572551578865146,3.594912336265224
312,312,Origin Protocol,OGN,388570733,66481244,0.1710917,1.0,388570733.0,584.48,0.03780432265310428,0.0064680074568450666,5.8448188895194795
319,319,Aleph.im,ALEPH,245676229,63972226,0.2603924,1.0,245676229.0,384.04,0.02390201484709847,0.006223903313225875,3.8403578599068173
323,323,Dawn Protocol,DAWN,74464266,63235304,0.8492033,1.0,74464266.0,117.76,0.007244681338341,0.0061522076483386005,1.1775743217201347
324,324,Perpetual Protocol,PERP,90775000,62954291,0.6935201,1.0,90775000.0,144.19,0.008831564236299654,0.00612486769393777,1.4419192753029078
328,328,Boba Network,BOBA,171624232,61553514,0.3586528,1.0,171624232.0,278.82,0.016697443452642187,0.0059885851044998075,2.7882118862587997
331,331,Sologenic,SOLO,399947699,60644688,0.1516315,1.0,399947699.0,659.49,0.0389111957574083,0.0059001647773324235,6.594935748838467
335,335,HedgeTrade,HEDG,348731468,59870836,0.1716818,1.0,348731468.0,582.47,0.03392833225955469,0.005824876166510182,5.824729237461397
336,336,Yield Guild Games,YGG,116331159,59663309,0.5128747,1.0,116331159.0,194.98,0.011317941100431711,0.005804685717253596,1.9497939750196296
338,338,Ark,ARK,139286329,59329952,0.4259567,1.0,139286329.0,234.77,0.013551265897018643,0.0057722531779077395,2.3476564636734203
343,343,Utrust,UTK,490000000,58133614,0.11864,1.0,490000000.0,842.89,0.04767244809459466,0.005655860604012655,8.428860418071476
345,345,Propy,PRO,82050200,57383266,0.6993678,1.0,82050200.0,142.99,0.007982722246226757,0.005582858714047589,1.4298627989449901
347,347,XSGD,XSGD,81392948,57227626,0.703103,1.0,81392948.0,142.23,0.00791877773223682,0.005567716387881378,1.4222667233677
348,348,GlitzKoin,GTN,247499428,57125748,0.2308116,1.0,247499428.0,433.25,0.024079395173003813,0.00555780460488754,4.3325378793786795
350,350,Beta Finance,BETA,483166667,56608102,0.1171606,1.0,483166667.0,853.53,0.04700762827264449,0.005507442457813306,8.535292581294394
356,356,Vai,VAI,57498554,54291526,0.9442242,1.0,57498554.0,105.91,0.005594075165467853,0.00528206113308436,1.0590705046534499
357,357,Alpha Venture DAO,ALPHA,446330126,54001597,0.1209903,1.0,446330126.0,826.51,0.04342377503018141,0.005253853734709629,8.26512538608467
359,359,SuperFarm,SUPER,403829654,53307924,0.132006,1.0,403829654.0,757.54,0.039288873917088,0.005186365795756319,7.5754132387921755
361,361,Telos,TLOS,270123444,52313917,0.1936667,1.0,270123444.0,516.35,0.026280501761679894,0.005089658148586597,5.1635102988794666
362,362,Celo Dollar,CUSD,52147150,51754517,0.9924707,1.0,52147150.0,100.76,0.0050734332686858,0.0050352337251904425,1.0075864204353842
363,363,GXChain,GXC,75000000,51563325,0.687511,1.0,75000000.0,145.45,0.007296803279784896,0.005016632519688194,1.4545221821905396
365,365,Dusk Network,DUSK,410078542,51220822,0.1249049,1.0,410078542.0,800.61,0.03989683266980011,0.004983310159505045,8.006091034058711
368,368,Mines of Dalarnia,DAR,208484058,50884855,0.2440707,1.0,208484058.0,409.72,0.02028356210929686,0.0049506236914050525,4.097173482929332
370,370,Ampleforth,AMPL,56999383,50538257,0.8866457,1.0,56999383.0,112.78,0.005545510464268206,0.0049169029257628265,1.1278462186192297
372,372,H2O DAO,H2O,86228944,50341239,0.5838091,1.0,86228944.0,171.29,0.00838927521855451,0.004897734904581805,1.7128886822764497
375,375,Aergo,AERGO,408500000,49568593,0.1213429,1.0,408500000.0,824.11,0.039743255197228405,0.004822563626356302,8.24110846205258
377,377,MOBOX,MBOX,79853076,48978158,0.6133534,1.0,79853076.0,163.04,0.007768962491436168,0.004765119785762972,1.6303814407811221
378,378,BakeryToken,BAKE,193529285,48849785,0.2524155,1.0,193529285.0,396.17,0.018828601620299014,0.00475263028539716,3.9617218435476422
380,380,Polkastarter,POLS,99221432,48811544,0.4919456,1.0,99221432.0,203.27,0.009653323605900722,0.0047489097913408634,2.032745084009289
381,381,Origin Dollar,OUSD,48542991,48338250,0.9957823,1.0,48542991.0,100.42,0.004722782079191582,0.004702862681854164,1.0042355643397156
384,384,ONUS,ONUS,97106390,47797538,0.4922183,1.0,97106390.0,203.16,0.00944754966720095,0.0046502564272539095,2.031618897550132
386,386,World Mobile Token,WMT,243955714,47523535,0.1948039,1.0,243955714.0,513.34,0.02373462472049955,0.004623598480732964,5.133367453115672
394,394,Super Zero Protocol,SERO,366040927,46201843,0.1262204,1.0,366040927.0,792.26,0.03561238182225472,0.004495010127126759,7.922649587546862
395,395,TomoChain,TOMO,92463625,46014134,0.4976458,1.0,92463625.0,200.95,0.00899585176214401,0.004476747785168823,2.0094613478100287
397,397,HUNT,HUNT,110357399,45222465,0.4097819,1.0,110357399.0,244.03,0.010736749746289739,0.004399725745759436,2.440322522785902
403,403,Cocos-BCX,COCOS,66860636,43872706,0.6561814,1.0,66860636.0,152.4,0.006504918774044055,0.004268406733784513,1.523968829351152
405,405,Travala.com,AVA,51598537,43497951,0.8430074,1.0,51598537.0,118.62,0.005020058320182698,0.004231946553609636,1.1862292074778942
406,406,AXEL,AXEL,283102718,43494474,0.153635,1.0,283102718.0,650.89,0.027543264549578915,0.004231608273809586,6.508933511244183
414,414,mStable USD,MUSD,41085970,40677955,0.9900692,1.0,41085970.0,101.0,0.003997283208655252,0.003957587139452565,1.0100304099955841
416,416,Ribbon Finance,RBN,162123922,40491879,0.2497588,1.0,162123922.0,400.39,0.01577315154374921,0.003939483673224709,4.003862926951923
418,418,SafePal,SFP,108166667,40326348,0.3728168,1.0,108166667.0,268.23,0.01052361187372001,0.003923379044641961,2.6822825580821466
423,423,Hyperion,HYN,203783085,39321822,0.1929592,1.0,203783085.0,518.24,0.019826201106569123,0.0038256479964895716,5.182442713278247
425,425,Alpaca Finance,ALPACA,141603872,38526091,0.2720695,1.0,141603872.0,367.55,0.013776741301864542,0.0037482307622145514,3.675531435901488
426,426,Flamingo,FLM,312284062,38397062,0.1229556,1.0,312284062.0,813.3,0.030382338237681997,0.00373567743914272,8.133017121627645
427,427,Komodo,KMD,133299745,38324432,0.2875057,1.0,133299745.0,347.82,0.012968826886806537,0.003728611214846577,3.478191910629946
430,430,Bluzelle,BLZ,336849974,37823651,0.1122863,1.0,336849974.0,890.58,0.03277237326771543,0.0036798898756031906,8.905805962080859
432,432,XeniosCoin,XNC,76274958,37704147,0.4943188,1.0,76274958.0,202.3,0.007420844849331402,0.003668263246547891,2.022985975852021
434,434,RSS3,RSS3,319388557,37634379,0.1178326,1.0,319388557.0,848.66,0.03107353960324487,0.0036614754682649047,8.486615758287606
435,435,Wanchain,WAN,192701891,37562695,0.1949264,1.0,192701891.0,513.01,0.01874810387026069,0.0036545012809807965,5.13014142773888
439,439,Akash Network,AKT,113861304,36639719,0.3217925,1.0,113861304.0,310.76,0.011077647152903802,0.0035647042902612934,3.1075926256826993
447,447,BitMart Token,BMX,173717945,35626128,0.2050803,1.0,173717945.0,487.61,0.016901142277779897,0.003466091301819154,4.876138761255957
452,452,CargoX,CXO,207558157,34420482,0.1658354,1.0,207558157.0,603.01,0.020193480543249445,0.0033487931459916936,6.030075605087937
456,456,Alitas,ALT,60000000,33551437,0.5591906,1.0,60000000.0,178.83,0.005837442623827917,0.003264243140574618,1.788299016471307
457,457,KILT Protocol,KILT,49420140,33547155,0.6788155,1.0,49420140.0,147.32,0.004808120528525717,0.0032638265417526974,1.473154340170488
461,461,Celo Euro,CEUR,33884423,33293523,0.9825613,1.0,33884423.0,101.77,0.003296639585066917,0.003239150504293252,1.0177482056335825
467,467,KOK,KOK,107333422,32358447,0.301476,1.0,107333422.0,331.7,0.01044254487573515,0.0031481762959779435,3.3170136262919767
468,468,Bella Protocol,BEL,48000000,32240517,0.6716774,1.0,48000000.0,148.88,0.004669954099062334,0.0031367028025008096,1.4888099554935152
473,473,MonaCoin,MONA,65729675,31837367,0.4843682,1.0,65729675.0,206.45,0.006394886774922603,0.003097480052604206,2.0645451125817096
477,477,Qredo,QRDO,132853411,31364349,0.2360824,1.0,132853411.0,423.58,0.012925402734872143,0.0030514597953535754,4.235809192044812
478,478,Karura,KAR,67691667,31308351,0.4625141,1.0,67691667.0,216.21,0.0065857703703960935,0.0030460117101527564,2.162096247444132
483,483,DIA,DIA,82300225,30738500,0.3734923,1.0,82300225.0,267.74,0.0080070473560938,0.0029905705015422406,2.6774313687323676
485,485,Merit Circle,MC,42592000,30535369,0.7169273,1.0,42592000.0,139.48,0.0041438059372346445,0.002970807742248561,1.3948415690126459
489,489,Toko Token,TKO,108500000,30377205,0.2799742,1.0,108500000.0,357.18,0.010556042078088817,0.002955419854329309,3.5717576833865405
494,494,smARTOFGIVING,AOG,73780484,29857106,0.4046748,1.0,73780484.0,247.11,0.007178155701804228,0.002904819053142471,2.4711200203224912
497,497,RAI Finance,SOFI,197613825,29555676,0.1495628,1.0,197613825.0,668.62,0.019225989418544514,0.0028754927143074633,6.686154578544932
500,500,Hathor,HTR,235594744,28967236,0.1229537,1.0,235594744.0,813.31,0.02292118000959044,0.002818242968681375,8.133142800907985
501,501,Phala Network,PHA,272000000,28947229,0.1064236,1.0,272000000.0,939.64,0.02646307322801989,0.0028162964734384597,9.396412074013659
502,502,Phantasma,SOUL,106514230,28888424,0.2712166,1.0,106514230.0,368.71,0.010362845104103504,0.0028105752932135564,3.6870899495089904
505,505,Reserve,RSV,28850667,28773271,0.9973174,1.0,28850667.0,100.27,0.0028069018878610916,0.0027993719760391954,1.0026898156995958
507,507,Bitcoin Diamond,BCD,186492898,28720823,0.1540049,1.0,186492898.0,649.33,0.01814402653043987,0.0027942692728602863,6.493299888510041
510,510,Cobak Token,CBK,31790638,28646043,0.9010842,1.0,31790638.0,110.98,0.0030929337549980584,0.0027869938735367887,1.1097742031210847
512,512,USDK,USDK,28600072,28469736,0.9954428,1.0,28600072.0,100.46,0.0027825213222891225,0.0027698408402588017,1.0045780631493844
514,514,Tokenlon Network Token,LON,44559365,27895817,0.6260371,1.0,44559365.0,159.73,0.004335212275695098,0.0027140038530383903,1.597349422262674
515,515,MiL.k,MLK,78160812,27877430,0.3566676,1.0,78160812.0,280.37,0.007604320924696676,0.002712214968746318,2.8037309808908915
516,516,Hoo Token,HOO,82430424,27780499,0.3370175,1.0,82430424.0,296.72,0.008019714509296796,0.002702784482896814,2.967204967101115
517,517,Kava Lend,HARD,134791668,27742854,0.2058202,1.0,134791668.0,485.86,0.013113977135334359,0.002699121974103914,4.858609601972984
518,518,Automata Network,ATA,172252000,27688917,0.1607466,1.0,172252000.0,622.1,0.016758519447326772,0.0026938744050572236,6.220971392240956
522,522,Boson Protocol,BOSON,90257688,26867080,0.2976708,1.0,90257688.0,335.94,0.008781234584322692,0.002613917299496576,3.3594158378987795
524,524,Litentry,LIT,37132164,26733433,0.7199535,1.0,37132164.0,138.9,0.0036126146141428088,0.0026009146879241306,1.3889785937564023
525,525,GMT Token,GMT,263581074,26519865,0.1006137,1.0,263581074.0,993.9,0.02564398993669901,0.0025801365054860356,9.939004330424186
526,526,Unibright,UBT,149999999,26498027,0.1766535,1.0,149999999.0,566.08,0.014593606462279083,0.0025780118709523834,5.66079924824586
534,534,Groestlcoin,GRS,80764469,25815377,0.3196378,1.0,80764469.0,312.85,0.007857632563857141,0.002511596367499781,3.1285411174773445
535,535,Ambire AdEx,ADX,142557524,25711082,0.1803558,1.0,142557524.0,554.46,0.01386952278241619,0.002501449432858912,5.544595737980147
537,537,Waltonchain,WTC,80746868,25649743,0.3176562,1.0,80746868.0,314.81,0.007855920150063441,0.0024954817179738626,3.1480575540474263
543,543,Gods Unchained,GODS,77356229,25280510,0.3268064,1.0,77356229.0,305.99,0.007526042473053221,0.0024595587771017984,3.0599155952882198
548,548,Cortex,CTXC,199936563,24820749,0.1241431,1.0,199936563.0,805.52,0.019451970248630927,0.0024148283027989026,8.055220145138955
553,553,Adventure Gold,AGLD,70170001,24595918,0.350519,1.0,70170001.0,285.29,0.006826889245857459,0.002392954335089605,2.8529123956190676
563,563,Newscrypto,NWC,150400834,23827338,0.1584256,1.0,150400834.0,631.21,0.014632603984181118,0.0023181786408925775,6.312111173951685
566,566,Venus XVS,vXVS,224433925,23637251,0.1053194,1.0,224433925.0,949.49,0.021835336000466634,0.002299684941625318,9.494926860578394
567,567,Elitium,EUM,27915379,23471835,0.8408209,1.0,27915379.0,118.93,0.002715907053915179,0.0022835915014742655,1.1893139192900652
571,571,Wilder World,WILD,94845467,22967373,0.2421557,1.0,94845467.0,412.96,0.009227582862377737,0.0022345120351259075,4.129574484515541
573,573,Misbloc,MSB,199015037,22926691,0.1152008,1.0,199015037.0,868.05,0.0193623143294415,0.002230554054445532,8.680495274338373
576,576,Efinity Token,EFI,169857481,22476793,0.1323274,1.0,169857481.0,755.7,0.016525554992757343,0.0021867831584192828,7.557013891302934
577,577,1irstcoin,FST,48681740,22425563,0.4606566,1.0,48681740.0,217.08,0.004736281067968475,0.0021817989553256376,2.1708144418206534
578,578,Tranchess,CHESS,82546919,22415275,0.2715459,1.0,82546919.0,368.26,0.008031048390604508,0.002180798028497072,3.682618665941927
583,583,Frontier,FRONT,97456250,22079214,0.2265551,1.0,97456250.0,441.39,0.009481587795140491,0.0021481024150703013,4.4139372717718555
585,585,Swarm,BZZ,47740494,21988984,0.460594,1.0,47740494.0,217.11,0.004644706575970016,0.0021393238742711683,2.171109480366657
